Table S1: DESeq2 differential gene expression analysis of Staphylococcus aureus USA300 wild type after AGXX® treatment ,,,,,,,,,,,,,
USA300-numbers,COL-numbers,Gene symbol,Operon,Regulon,Function,Base mean,A-value,M-value,Fold change,Standard error,Wald statistic,P-value,Adjusted P-value
USA300HOU_2567,SACOL2588,USA300HOU_2567,SACOL2588 SACOL2589,TetR,hypothetical protein,59416.17,15.86,10.13,1116.94,0.19,52.67,0,0.00E+00
USA300HOU_2568,SACOL2589,USA300HOU_2568,SACOL2588 SACOL2589,TetR,hypothetical protein,43417.86,15.41,9.93,977.47,0.21,47.04,0,0.00E+00
USA300HOU_0588,SACOL0641,hypR,hypR merA ,HypR,Rrf2-family repressor of the hypR-merA operon,14989.89,13.87,8.54,372.54,0.19,45.73,0,0.00E+00
USA300HOU_0587,SACOL0640,merA,hypR merA ,HypR,pyridine nucleotide-disulfide reductase,55439.15,15.76,8.32,320.50,0.16,52.36,0,0.00E+00
USA300HOU_2461,SACOL2479,dapF,SACOL2477 fmrO dapF,GraRS,hypothetical protein,6237.83,12.61,8.30,314.60,0.19,43.38,0,0.00E+00
USA300HOU_2460,SACOL2478,fmrO,SACOL2477 fmrO dapF,GraRS,rRNA methyltransferase FmrO,5317.96,12.38,7.86,232.96,0.18,43.27,0,0.00E+00
USA300HOU_2689,SACOL2711,yceI,yceI,SigB,hypothetical protein,131807.09,17.01,7.68,205.68,0.18,42.98,0,0.00E+00
USA300HOU_2128,SACOL2131,dps,dps,PerR,Dps family stress protein,186282.97,17.51,7.33,161.04,0.21,34.77,8.2033E-265,7.11E-263
USA300HOU_0516,SACOL0568,mcsA,ctsR mcsA mcsB clpC,CtsR,hypothetical protein,44785.49,15.45,7.24,151.05,0.15,49.25,0,0.00E+00
USA300HOU_0517,SACOL0569,mcsB,ctsR mcsA mcsB clpC,CtsR,ATP:guanido phosphotransferase,85479.02,16.38,7.16,142.98,0.16,45.64,0,0.00E+00
USA300HOU_2509,SACOL2530,mhqE,mhqR mhqD mhqE,MhqR,glyoxalase/dioxygenase MhqE,8772.26,13.10,7.10,137.23,0.24,29.83,1.4859E-195,7.83E-194
USA300HOU_0515,SACOL0567,ctsR,ctsR mcsA mcsB clpC,CtsR,CtsR family transcriptional regulator,44887.73,15.45,7.00,128.39,0.16,43.32,0,0.00E+00
USA300HOU_0181,SACOL0154,aldA,aldA,CcpA,aldehyde dehydrogenase,37414.29,15.19,7.00,128.23,0.20,34.60,2.1671E-262,1.82E-260
USA300HOU_2459,SACOL2477,USA300HOU_2459,SACOL2477 fmrO dapF,GraRS,hypothetical protein,3316.61,11.70,7.00,127.99,0.20,34.29,1.0048E-257,7.94E-256
